yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
56.0,8206.0,12.0,3.0,Antalya,Standart,0
69.0,29518.0,5.0,3.0,Bursa,Standart,1
46.0,30361.0,37.0,0.0,Istanbul,Standart,0
32.0,31419.0,32.0,7.0,Antalya,Vip,0
60.0,58636.0,59.0,2.0,Istanbul,Standart,0
25.0,56702.0,55.0,6.0,Izmir,Premium,0
38.0,58015.0,9.0,1.0,Istanbul,Vip,0
56.0,59942.0,41.0,1.0,Istanbul,Standart,0
36.0,49523.0,35.0,6.0,Istanbul,Vip,0
40.0,53151.0,19.0,5.0,Bursa,Premium,0
28.0,30403.0,48.0,2.0,Istanbul,Standart,0
28.0,26141.0,16.0,8.0,Antalya,Standart,1
41.0,22820.0,3.0,9.0,Izmir,Premium,1
53.0,48342.0,20.0,5.0,Izmir,Standart,0
,14374.0,24.0,9.0,Istanbul,Vip,1
41.0,9678.0,54.0,9.0,Bursa,Standart,1
20.0,41827.0,56.0,5.0,Bursa,Premium,0
39.0,24198.0,33.0,0.0,Antalya,Standart,0
19.0,17914.0,24.0,3.0,Istanbul,Premium,0
41.0,35890.0,52.0,9.0,Izmir,Premium,1
61.0,30299.0,11.0,5.0,Bursa,Standart,1
47.0,51585.0,49.0,5.0,Istanbul,Standart,0
55.0,51689.0,8.0,4.0,Bursa,Standart,0
19.0,50557.0,36.0,0.0,Bursa,Standart,0
38.0,57080.0,38.0,7.0,Izmir,Standart,0
50.0,52020.0,40.0,4.0,Ankara,Premium,0
29.0,10693.0,20.0,4.0,Antalya,Premium,1
39.0,37467.0,35.0,6.0,Antalya,Premium,0
61.0,37723.0,48.0,3.0,Izmir,Vip,0
42.0,54699.0,25.0,5.0,Bursa,Premium,0
66.0,11627.0,35.0,3.0,Istanbul,Premium,0
44.0,33939.0,25.0,2.0,Bursa,Premium,0
59.0,56925.0,29.0,6.0,Izmir,Standart,0
45.0,50941.0,18.0,7.0,Antalya,Standart,1
33.0,29834.0,46.0,3.0,Bursa,Standart,1
32.0,26047.0,18.0,1.0,Antalya,Standart,0
